    |           |     |   |           |   |  |   1|      1.378|  4.856E-01| | 4.856E-01  1.420E-04
 20 |  1.418120 |  5.0|  1|           |  1| u|    |           |     (5)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      1.044|  9.998E-01| | 1.000E+00  1.790E-04
 21 |  1.424000 |  3.0|  1|           |  0| u|    |           |     (3+)  |0|                                                                                                                                                                                                                              0.000000       
 22 |  1.424600 |  6.0|  1|  7.600E-14|  2| u|    |           |     (6+)  |0|                                                                                                                                                                                                                              0.000000  2    
    |           |     |   |           |   |  |   6|      1.051|  8.959E-01| | 8.961E-01  1.770E-04
    |           |     |   |           |   |  |   2|      1.399|  1.039E-01| | 1.039E-01  1.440E-04
 23 |  1.434900 |  1.0|  1|  6.000E-13|  1| u|    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.435|  9.999E-01| | 1.000E+00  1.490E-04
 24 |  1.513320 |  3.0|  1|           |  4| c|    |           |(3+,4,5+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      0.473|  1.304E-01| | 1.306E-01  1.300E-03
    |           |     |   |           |   |  |   6|      1.139|  9.878E-02| | 9.880E-02  1.670E-04
    |           |     |   |           |   |  |   5|      1.148|  3.951E-01| | 3.952E-01  1.490E-04
    |           |     |   |           |   |  |   2|      1.488|  3.754E-01| | 3.754E-01  1.740E-04
 25 |  1.522570 |  2.0|  1|           |  2| c|    |           |  (2+,3+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      1.157|  4.413E-01| | 4.413E-01  1.470E-04
    |           |     |   |           |   |  |   4|      1.411|  5.586E-01| | 5.587E-01  1.460E-04
 26 |  1.524400 |  3.0|  1|           |  2| c|    |           |  (2+,3+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      1.159|  4.505E-01| | 4.505E-01  1.470E-04
    |           |     |   |           |   |  |   1|      1.524|  5.494E-01| | 5.495E-01  1.670E-04
 27 |  1.548810 |  5.0|  1|           |  2| u|    |           |       5+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  12|      0.473|  3.330E-01| | 3.335E-01  1.300E-03
    |           |     |   |           |   |  |   8|      0.663|  6.661E-01| | 6.665E-01  6.640E-04
 28 |  1.554740 |  3.0|  1|           |  3| c|    |           |(1+,2,3+)  |0|                                                                                                                                                                                                                              0.000000       
