    |           |     |   |           |   |  |  15|      0.224|  5.958E-02| | 6.244E-02  4.800E-02
    |           |     |   |           |   |  |  12|      0.301|  1.084E-01| | 1.099E-01  1.370E-02
    |           |     |   |           |   |  |   3|      1.261|  8.275E-01| | 8.277E-01  1.900E-04
 22 |  2.853000 |  4.0|  1|           |  0| u|    |           |     (4+)  |0|                                                                                                                                                                                                                              0.000000       
 23 |  2.869900 |  2.0|  1|  9.100E-14|  4| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.803|  1.672E-01| | 1.674E-01  1.303E-03
    |           |     |   |           |   |  |   5|      1.006|  6.381E-01| | 6.385E-01  7.000E-04
    |           |     |   |           |   |  |   2|      1.999|  8.359E-02| | 8.363E-02  4.840E-04
    |           |     |   |           |   |  |   1|      2.870|  1.104E-01| | 1.105E-01  8.160E-04
 24 |  2.872400 |  6.0|  1|           |  2| u|    |           |       6+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  15|      0.262|  3.826E-02| | 3.860E-02  8.800E-03
    |           |     |   |           |   |  |  11|      0.449|  9.565E-01| | 9.614E-01  5.100E-03
 25 |  2.955550 |  8.0|  1|  9.800E-08|  2| u|    |           |       8+  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |  24|      0.084|  6.908E-02| | 2.293E-01  2.320E+00
    |           |     |   |           |   |  |  11|      0.532|  7.676E-01| | 7.707E-01  4.020E-03
 26 |  2.960000 |  4.0|  1|           |  0| u|    |           |     (4+)  |0|                                                                                                                                                                                                                              0.000000       
 27 |  2.965410 |  3.0|  1|  5.200E-14|  4| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.898|  1.031E-01| | 1.032E-01  1.020E-03
    |           |     |   |           |   |  |   5|      1.101|  4.484E-01| | 4.486E-01  5.800E-04
    |           |     |   |           |   |  |   3|      1.392|  2.825E-01| | 2.826E-01  3.500E-04
    |           |     |   |           |   |  |   2|      2.094|  1.655E-01| | 1.655E-01  5.120E-04
 28 |  2.993100 |  2.0|  1|  1.510E-13|  4| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.926|  2.087E-01| | 2.089E-01  9.600E-04
    |           |     |   |           |   |  |   5|      1.129|  4.637E-01| | 4.640E-01  5.200E-04
    |           |     |   |           |   |  |   2|      2.122|  2.954E-01| | 2.956E-01  5.300E-04
    |           |     |   |           |   |  |   1|      2.993|  3.153E-02| | 3.156E-02  8.630E-04
 29 |  3.011510 |  3.0| -1|  2.200E-13|  5| u|    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  12|      0.478|  2.405E-01| | 2.416E-01  4.390E-03
    |           |     |   |           |   |  |   6|      0.944|  5.623E-02| | 5.626E-02  3.880E-04
    |           |     |   |           |   |  |   5|      1.147|  5.434E-02| | 5.436E-02  2.300E-04
    |           |     |   |           |   |  |   3|      1.438|  1.748E-01| | 1.749E-01  1.500E-04
    |           |     |   |           |   |  |   2|      2.140|  4.726E-01| | 4.729E-01  8.070E-04
 30 |  3.026900 |  3.0|  1|           |  2| u|    |           |      (3)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  15|      0.416|  6.154E-01| | 6.302E-01  2.410E-02
    |           |     |   |           |   |  |  12|      0.493|  3.692E-01| | 3.698E-01  1.650E-03
 31 |  3.032000 |  4.0|  1|           |  0| u|    |           |     (4+)  |0|                                                                                                                                                                                                                              0.000000       
 32 |  3.072420 |  2.0|  1|  3.500E-13|  3| c|    |           |   (2,3+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  12|      0.539|  7.724E-02| | 7.734E-02  1.330E-03
    |           |     |   |           |   |  |   5|      1.208|  6.716E-01| | 6.720E-01  5.310E-04
    |           |     |   |           |   |  |   2|      2.201|  2.505E-01| | 2.507E-01  5.460E-04
 33 |  3.082460 |  3.0|  1|  7.000E-13|  2| u|    |           |     (3)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      1.218|  1.243E-01| | 1.243E-01  4.700E-04
    |           |     |   |           |   |  |   2|      2.211|  8.752E-01| | 8.757E-01  5.340E-04
 34 |  3.128660 |  1.0|  1|  6.500E-15|  4| u|    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      1.061|  9.366E-03| | 9.372E-03  6.100E-04
    |           |     |   |           |   |  |   5|      1.264|  1.478E-01| | 1.478E-01  4.300E-04
    |           |     |   |           |   |  |   2|      2.258|  3.464E-02| | 3.466E-02  5.610E-04
    |           |     |   |           |   |  |   1|      3.129|  8.074E-01| | 8.081E-01  8.710E-04
 35 |  3.163290 |  3.0|  1|  6.300E-14|  2| u|    |           |     (3)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  20|      0.358|  1.428E-01| | 1.442E-01  9.300E-03
    |           |     |   |           |   |  |   2|      2.292|  8.553E-01| | 8.558E-01  5.620E-04
 36 |  3.165770 |  6.0|  1|  3.220E-13|  3| u|    |           |       6+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  24|      0.293|  3.780E-01| | 3.836E-01  1.490E-02
    |           |     |   |           |   |  |  11|      0.742|  1.400E-01| | 1.402E-01  1.580E-03
    |           |     |   |           |   |  |   3|      1.592|  4.760E-01| | 4.762E-01  4.100E-04
 37 |  3.171000 |  3.0|  1|           |  0| c|    |           |    2+,3+  |0|                                                                                                                                                                                                                              0.000000       
 38 |  3.201110 |  4.0|  1|  4.400E-14|  2| u|    |           |      (4)  |0|                                                                                                                                                                                                                              0.000000       
