  1 |  0.000000 |  4.5|  1|  3.023E+06|  0| u|    |           |     9/2+  |1| =  1.0000E+02 %B-                                                                                                                                                                                                            0.000000       
  2 |  0.235690 |  0.5| -1|  3.119E+05|  1| u|    |           |     1/2-  |2| =  9.4400E+01 %IT     =  5.6000E+00 %B-                                                                                                                                                                                      0.000000       
    |           |     |   |           |   |  |   1|      0.236|  2.497E-01| | 9.440E-01  2.780E+00
  3 |  0.724195 |  3.5|  1|  7.000E-11|  1| u|    |           |     7/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.724|  9.985E-01| | 1.000E+00  1.496E-03
  4 |  0.730000 |  2.5|  1|           |  0| u|    |           |   (5/2)+  |0|                                                                                                                                                                                                                              0.000000       
  5 |  0.756728 |  3.5|  1|  7.000E-11|  1| u|    |           |     7/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.757|  9.986E-01| | 1.000E+00  1.356E-03
  6 |  0.799000 |  1.5| -1|           |  0| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
  7 |  0.805000 |  3.0|  1|           |  0| c|    |         (5|/2:13/2)+  |0|                                                                                                                                                                                                                              0.000000       
  8 |  0.824700 |  6.5|  1|           |  1| u|    |           |  (13/2+)  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |   1|      0.825|  9.988E-01| | 1.000E+00  1.190E-03
  9 |  0.877000 |  6.0|  1|           |  0| c|    |         (5|/2:13/2)+  |0|                                                                                                                                                                                                                              0.000000       
 10 |  1.010000 |  2.5| -1|           |  0| u|    |           |   (5/2-)  |0|                                                                                                                                                                                                                              0.000000       
 11 |  1.088000 |  4.5|  1|           |  0| u|    |           |     9/2+  |0|                                                                                                                                                                                                                              0.000000       
 12 |  1.149000 |  5.0|  1|           |  0| c|    |         (5|/2:13/2)+  |0|                                                                                                                                                                                                                              0.000000       
 13 |  1.216000 |  4.0| -1|           |  0| c|    |         (7|/2:11/2)-  |0|                                                                                                                                                                                                                              0.000000       
 14 |  1.219000 |  1.5| -1|           |  0| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
 15 |  1.268000 |  4.5|  1|           |  0| u|    |           |     9/2+  |0|                                                                                                                                                                                                                              0.000000       
 16 |  1.274000 |  2.5| -1|           |  0| u|    |           |     5/2-  |0|                                                                                                                                                                                                                              0.000000       
 17 |  1.337000 |  4.5|  1|           |  0| u|    |           |     9/2+  |0|                                                                                                                                                                                                                              0.000000       
 18 |  1.364000 |  5.5|  1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 19 |  1.394000 |  3.5|  1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 20 |  1.430000 |  1.5|  1|           |  0| u|    |           |   (3/2+)  |0|                                                                                                                                                                                                                              0.000000       
 21 |  1.464000 |  0.5|  1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 22 |  1.518000 |  4.0|  1|           |  0| c|    |         (5|/2:13/2)+  |0|                                                                                                                                                                                                                              0.000000       
