 30 |  5.560000 |  3.0| -1|           |  0| u|    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
 31 |  5.561000 |  2.0|  1|           |  0| c|    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
 32 |  5.600000 |  5.0|  1|           |  0| c|    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
 33 |  5.633000 |  0.0|  1|           |  0| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
 34 |  5.694830 |  3.0|  1|           |  1| c|    |           |    2+,3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      3.020|  9.993E-01| | 1.000E+00  7.500E-04
 35 |  5.717000 |  0.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 36 |  5.771000 |  4.0| -1|           |  0| c|    |           |    3-,4-  |0|                                                                                                                                                                                                                              0.000000       
 37 |  5.787000 |  4.0|  1|           |  0| u|    |           |     (4)+  |0|                                                                                                                                                                                                                              0.000000       
 38 |  5.795000 |  6.0| -1|           |  0| c|    |           |   (1:6)-  |0|                                                                                                                                                                                                                              0.000000       
 39 |  5.806510 |  6.0|  1|           |  1| c|    |           | 4+,5+,6+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      3.132|  9.992E-01| | 1.000E+00  8.480E-04
 40 |  5.837200 |  2.0|  1|  2.600E-14|  2| c|    |           | (2:5)(+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      1.690|  5.492E-01| | 5.493E-01  2.060E-04
    |           |     |   |           |   |  |   3|      3.162|  4.503E-01| | 4.507E-01  8.600E-04
 41 |  5.880000 | -1.0|  0|           |  0|  |    |           |   (0:7)+  |0|                                                                                                                                                                                                                              0.000000       
 42 |  5.945000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
 43 |  5.946442 | -1.0|  0|  1.900E-14|  4|  |    |           |    3+,4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  22|      0.760|  6.948E-02| | 6.948E-02  0.000E+00
    |           |     |   |           |   |  |  17|      1.157|  4.059E-02| | 4.059E-02  0.000E+00
    |           |     |   |           |   |  |   9|      1.799|  1.093E-01| | 1.093E-01  0.000E+00
    |           |     |   |           |   |  |   3|      3.271|  7.806E-01| | 7.806E-01  0.000E+00
 44 |  6.044000 | -1.0|  0|           |  0|  |    |           |    3-,4-  |0|                                                                                                                                                                                                                              0.000000       
 45 |  6.045000 |  0.0|  1|           |  0|  |    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
 46 |  6.068000 |  2.0|  1|           |  0|  |    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
 47 |  6.123110 |  4.0|  1|  3.800E-14|  5|  |    |           |     (4+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  18|      1.242|  3.983E-01| | 3.983E-01  8.100E-05
    |           |     |   |           |   |  |  14|      1.636|  3.386E-01| | 3.386E-01  1.850E-04
    |           |     |   |           |   |  |   9|      1.976|  5.974E-02| | 5.976E-02  3.000E-04
    |           |     |   |           |   |  |   4|      2.925|  1.235E-01| | 1.236E-01  7.610E-04
    |           |     |   |           |   |  |   3|      3.448|  7.966E-02| | 7.973E-02  9.200E-04
 48 |  6.136200 |  7.0|  1|           |  1|  |    |           |     (7)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      2.938|  9.993E-01| | 1.000E+00  6.620E-04
 49 |  6.156440 | -1.0|  0|           |  1|  |    |           | (2,3,4)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      4.603|  1.000E+00| | 1.000E+00  0.000E+00
 50 |  6.182000 | -1.0|  0|           |  0|  |    |           |   (0:7)+  |0|                                                                                                                                                                                                                              0.000000       
 51 |  6.213000 | -1.0|  0|           |  0|  |    |           | (1:6)(-)  |0|                                                                                                                                                                                                                              0.000000       
 52 |  6.250000 | -1.0|  0|           |  0|  |    |           |   (0:7)+  |0|                                                                                                                                                                                                                              0.000000       
 53 |  6.301760 | -1.0|  0|           |  2|  |    |           |    2-,3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      2.128|  1.304E-01| | 1.304E-01  0.000E+00
    |           |     |   |           |   |  |   2|      4.748|  8.696E-01| | 8.696E-01  0.000E+00
 54 |  6.379830 |  5.0| -1|  1.900E-14|  3|  |    |           |     (5)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  18|      1.499|  3.500E-01| | 3.501E-01  2.850E-04
    |           |     |   |           |   |  |   9|      2.232|  3.500E-01| | 3.503E-01  8.070E-04
    |           |     |   |           |   |  |   4|      3.182|  2.992E-01| | 2.996E-01  1.331E-03
 55 |  6.392000 | -1.0|  0|           |  0|  |    |           |   (2:5)+  |0|                                                                                                                                                                                                                              0.000000       
 56 |  6.399770 |  3.0| -1|           |  2|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      3.724|  3.932E-01| | 3.938E-01  1.568E-03
    |           |     |   |           |   |  |   2|      4.846|  6.050E-01| | 6.062E-01  1.970E-03
 57 |  6.461000 | -1.0|  0|           |  0|  |    |           |   (1:6)-  |0|                                                                                                                                                                                                                              0.000000       
 58 |  6.481100 |  3.0|  1|  1.700E-14|  1|  |    |           |     (3)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      2.309|  9.996E-01| | 1.000E+00  4.400E-04
 59 |  6.521360 | -1.0|  0|  7.600E-15|  5|  |    |           |   (3,4)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  17|      1.731|  1.043E-01| | 1.043E-01  0.000E+00
    |           |     |   |           |   |  |  11|      2.349|  9.953E-02| | 9.953E-02  0.000E+00
    |           |     |   |           |   |  |   9|      2.373|  9.953E-02| | 9.953E-02  0.000E+00
    |           |     |   |           |   |  |   5|      2.659|  2.227E-01| | 2.227E-01  0.000E+00
    |           |     |   |           |   |  |   3|      3.846|  4.739E-01| | 4.739E-01  0.000E+00
 60 |  6.540600 |  8.0|  1|           |  1|  |    |           |     (8)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  48|      0.404|  9.994E-01| | 1.000E+00  6.180E-04
 61 |  6.548000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 62 |  6.583000 | -1.0|  0|           |  0|  |    |           |   (1:6)-  |0|                                                                                                                                                                                                                              0.000000       
 63 |  6.609000 |  3.0| -1|           |  0|  |    |           |     (3)-  |0|                                                                                                                                                                                                                              0.000000       
 64 |  6.636000 | -1.0|  0|           |  0|  |    |           |   (0:7)+  |0|                                                                                                                                                                                                                              0.000000       
 65 |  6.665000 | -1.0|  0|           |  0|  |    |           |   (1:6)-  |0|                                                                                                                                                                                                                              0.000000       
