  1 ;  0.000000 ;  0.5;  1;  6.020E-01;  0;  ;    ;           ;     1/2+  ;1; =  1.0000E+02 %B-                                                                                                                                                                                                            0.000000       
  2 ;  1.702800 ; -1.0;  0;           ;  1;  ;    ;          (;5/2,3/2)+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      1.703;  1.000E+00; ; 1.000E+00  0.000E+00
  3 ;  2.090000 ; -1.0;  0;           ;  1;  ;    ;          (;3/2,5/2)+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      2.090;  1.000E+00; ; 1.000E+00  0.000E+00
  4 ;  3.316400 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      1.613;  1.000E+00; ; 1.000E+00  0.000E+00
  5 ;  3.324000 ; -1.0;  0;           ;  2;  ;    ;      (3/2,;5/2,7/2)+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   3;      1.234;  4.186E-01; ; 4.186E-01  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   2;      1.622;  5.814E-01; ; 5.814E-01  0.000E+00
  6 ;  3.891200 ; -1.0;  0;           ;  2;  ;    ;      (3/2,;5/2,7/2)+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   4;      0.575;  5.682E-01; ; 5.682E-01  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   2;      2.189;  4.318E-01; ; 4.318E-01  0.000E+00
  7 ;  4.070000 ; -1.0;  0;           ;  1;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      4.070;  1.000E+00; ; 1.000E+00  0.000E+00
  8 ;  4.700000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
  9 ;  6.280000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
