  1 |  0.000000 |  2.5|  1|  3.629E+05|  0|  |    |           |(5/2)(+#)  |2| AP 1.0000E+02 %EC     =  4.0000E-03 %A                                                                                                                                                                                       0.000000       
  2 |  0.040000 |  2.5|  1|           |  0|  |    |           |   (5/2+)  |0|                                                                                                                                                                                                                              0.000000       
  3 |  0.045100 |  3.5| -1|           |  0|  |    |           |   (7/2-)  |0|                                                                                                                                                                                                                              0.000000       
  4 |  0.416100 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.371|  9.718E-01| | 9.718E-01  0.000E+00
    |           |     |   |           |   |  |   1|      0.416|  2.818E-02| | 2.818E-02  0.000E+00
  5 |  0.421100 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.376|  3.789E-01| | 3.789E-01  0.000E+00
    |           |     |   |           |   |  |   1|      0.421|  6.211E-01| | 6.211E-01  0.000E+00
  6 |  0.481700 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.437|  3.197E-01| | 3.197E-01  0.000E+00
    |           |     |   |           |   |  |   1|      0.482|  6.803E-01| | 6.803E-01  0.000E+00
  7 |  1.153500 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.738|  6.944E-01| | 6.944E-01  0.000E+00
    |           |     |   |           |   |  |   3|      1.108|  3.056E-01| | 3.056E-01  0.000E+00
  8 |  1.268100 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.787|  2.126E-01| | 2.126E-01  0.000E+00
    |           |     |   |           |   |  |   4|      0.852|  7.874E-01| | 7.874E-01  0.000E+00
