    |           |     |   |           |   |  |  10|      1.048|  9.988E-01| | 1.000E+00  1.220E-03
 24 |  2.176100 | -1.0|  0|           |  1|  |    |        7/2|,9/2,11/2  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.558|  1.000E+00| | 1.000E+00  0.000E+00
 25 |  2.249500 | -1.0|  0|           |  2|  |    |         (3|/2+,5/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      2.035|  8.333E-01| | 8.333E-01  0.000E+00
    |           |     |   |           |   |  |   2|      2.222|  1.667E-01| | 1.667E-01  0.000E+00
 26 |  2.284200 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.257|  1.000E+00| | 1.000E+00  0.000E+00
 27 |  2.308100 | 10.5|  1|           |  1|  |    |           |  (21/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  20|      0.415|  9.875E-01| | 1.000E+00  1.263E-02
 28 |  2.331500 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      1.260|  1.000E+00| | 1.000E+00  0.000E+00
 29 |  2.347200 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      1.275|  1.000E+00| | 1.000E+00  0.000E+00
 30 |  2.355000 | -1.0|  0|           |  0|  |    |         (1|/2-,3/2-)  |0|                                                                                                                                                                                                                              0.000000       
 31 |  2.462200 | 11.5| -1|           |  4|  |    |           |  (23/2-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  27|      0.154|  0.000E+00| | 0.000E+00  6.500E-02
    |           |     |   |           |   |  |  23|      0.327|  1.066E-01| | 1.098E-01  3.000E-02
    |           |     |   |           |   |  |  22|      0.386|  5.329E-01| | 5.423E-01  1.770E-02
    |           |     |   |           |   |  |  21|      0.403|  3.464E-01| | 3.479E-01  4.500E-03
 32 |  2.519000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 33 |  2.532600 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      1.461|  1.000E+00| | 1.000E+00  0.000E+00
 34 |  2.589000 | -1.0|  0|           |  0|  |    |         (5|/2-,7/2-)  |0|                                                                                                                                                                                                                              0.000000       
 35 |  2.623500 | 13.5| -1|  2.300E-07|  1|  |    |           |  (27/2-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  31|      0.161|  7.407E-01| | 1.000E+00  3.500E-01
 36 |  2.760000 |  3.5| -1|           |  0|  |    |           |     7/2-  |0|                                                                                                                                                                                                                              0.000000       
 37 |  2.800000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 38 |  2.883000 | -1.0|  0|           |  0|  |    |         (5|/2-,7/2-)  |0|                                                                                                                                                                                                                              0.000000       
 39 |  2.990000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 40 |  3.020000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 41 |  3.080000 | -1.0|  0|           |  0|  |    |           |5/2-,7/2-  |0|                                                                                                                                                                                                                              0.000000       
 42 |  3.109000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 43 |  3.150000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 44 |  3.180000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 45 |  3.195000 | -1.0|  0|           |  0|  |    |           |5/2-,7/2-  |0|                                                                                                                                                                                                                              0.000000       
 46 |  3.247000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 47 |  3.344000 |  1.5| -1|           |  0|  |    |           |   (3/2-)  |0|                                                                                                                                                                                                                              0.000000       
 48 |  3.375000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 49 |  3.416000 |  1.5| -1|           |  0|  |    |           |   (3/2)-  |0|                                                                                                                                                                                                                              0.000000       
 50 |  3.482000 | -1.0|  0|           |  0|  |    |           |1/2-,3/2-  |0|                                                                                                                                                                                                                              0.000000       
 51 |  3.530000 | -1.0|  0|           |  0|  |    |        (9/|2-,11/2-)  |0|                                                                                                                                                                                                                              0.000000       
 52 |  3.610000 | -1.0|  0|           |  0|  |    |         (5|/2-,7/2-)  |0|                                                                                                                                                                                                                              0.000000       
 53 |  3.703000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 54 |  3.738000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 55 |  3.774000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 56 |  3.820000 |  0.5| -1|           |  0|  |    |           |   (1/2)-  |0|                                                                                                                                                                                                                              0.000000       
 57 |  3.850000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 58 |  3.870000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 59 |  3.920000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 60 |  3.970000 | -1.0|  0|           |  0|  |    |           |      (-)  |0|                                                                                                                                                                                                                              0.000000       
 61 |  4.030000 | -1.0|  0|           |  0|  |    |        (9/|2-,11/2-)  |0|                                                                                                                                                                                                                              0.000000       
 62 |  4.100000 | -1.0|  0|           |  0|  |    |         (1|/2-,3/2-)  |0|                                                                                                                                                                                                                              0.000000       
 63 |  4.160000 | -1.0|  0|           |  0|  |    |         (5|/2-,7/2-)  |0|                                                                                                                                                                                                                              0.000000       
 64 |  4.200000 | -1.0|  0|           |  0|  |    |         (5|/2-,7/2-)  |0|                                                                                                                                                                                                                              0.000000       
 65 |  4.290000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 66 |  4.320000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 67 |  4.430000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 68 |  4.510000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 69 |  4.550000 | -1.0|  0|           |  0|  |    |        (9/|2-,11/2-)  |0|                                                                                                                                                                                                                              0.000000       
 70 |  4.650000 | -1.0|  0|           |  0|  |    |         (5|/2-,7/2-)  |0|                                                                                                                                                                                                                              0.000000       
 71 |  4.730000 | -1.0|  0|           |  0|  |    |         (5|/2-,7/2-)  |0|                                                                                                                                                                                                                              0.000000       
 72 |  4.780000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 73 |  4.830000 | -1.0|  0|           |  0|  |    |         (5|/2-,7/2-)  |0|                                                                                                                                                                                                                              0.000000       
 74 |  4.880000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 75 |  4.900000 | -1.0|  0|           |  0|  |    |        (9/|2-,11/2-)  |0|                                                                                                                                                                                                                              0.000000       
 76 |  4.980000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 77 |  5.060000 | -1.0|  0|           |  0|  |    |        (9/|2-,11/2-)  |0|                                                                                                                                                                                                                              0.000000       
 78 |  5.120000 | -1.0|  0|           |  0|  |    |        (9/|2-,11/2-)  |0|                                                                                                                                                                                                                              0.000000       
 79 |  5.230000 | -1.0|  0|           |  0|  |    |        (9/|2-,11/2-)  |0|                                                                                                                                                                                                                              0.000000       
