 29 |  3.308490 | -1.0|  0|           |  2|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  17|      0.894|  9.173E-02| | 9.173E-02  0.000E+00
    |           |     |   |           |   |  |   1|      3.309|  9.083E-01| | 9.083E-01  0.000E+00
 30 |  3.338000 | -1.0|  0|           |  0|  |    |           |1/2-,3/2-  |0|                                                                                                                                                                                                                              0.000000       
 31 |  3.356000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 32 |  3.411000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 33 |  3.436000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 34 |  3.480000 | -1.0|  0|           |  0|  |    |          (|7/2,9/2)+  |0|                                                                                                                                                                                                                              0.000000       
 35 |  3.534000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 36 |  3.586000 | -1.0|  0|           |  0|  |    |           |        -  |0|                                                                                                                                                                                                                              0.000000       
 37 |  3.618000 | -1.0|  0|           |  0|  |    |           |        +  |0|                                                                                                                                                                                                                              0.000000       
 38 |  3.647000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 39 |  3.685000 | -1.0|  0|           |  0|  |    |          (|7/2,9/2)+  |0|                                                                                                                                                                                                                              0.000000       
 40 |  3.692000 | -1.0|  0|           |  0|  |    |           |1/2-,3/2-  |0|                                                                                                                                                                                                                              0.000000       
 41 |  3.707000 | -1.0|  0|           |  0|  |    |           |        -  |0|                                                                                                                                                                                                                              0.000000       
 42 |  3.744000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 43 |  3.767000 | -1.0|  0|           |  0|  |    |           |1/2-,3/2-  |0|                                                                                                                                                                                                                              0.000000       
 44 |  3.824000 | -1.0|  0|           |  0|  |    |           |        -  |0|                                                                                                                                                                                                                              0.000000       
 45 |  3.834000 |  0.5|  1|           |  0|  |    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
 46 |  3.865000 | -1.0|  0|           |  0|  |    |           |        +  |0|                                                                                                                                                                                                                              0.000000       
 47 |  3.910000 | -1.0|  0|           |  0|  |    |           |        +  |0|                                                                                                                                                                                                                              0.000000       
 48 |  3.958000 | -1.0|  0|           |  0|  |    |           |        -  |0|                                                                                                                                                                                                                              0.000000       
 49 |  3.974000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 50 |  4.014000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 51 |  4.029000 | -1.0|  0|           |  0|  |    |           |        -  |0|                                                                                                                                                                                                                              0.000000       
 52 |  4.057000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 53 |  4.068000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 54 |  4.094000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
 55 |  4.106000 | -1.0|  0|           |  0|  |    |           |        -  |0|                                                                                                                                                                                                                              0.000000       
 56 |  4.146000 | -1.0|  0|           |  0|  |    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 57 |  4.153000 | -1.0|  0|           |  0|  |    |           |        -  |0|                                                                                                                                                                                                                              0.000000       
 58 |  4.209000 | -1.0|  0|           |  0|  |    |           |        -  |0|                                                                                                                                                                                                                              0.000000       
 59 |  4.266000 | -1.0|  0|           |  0|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
