    |           |     |   |           |   |  |   6|      0.651|  9.958E-01| | 1.000E+00  4.210E-03
 26 |  2.875370 |  2.0|  1|  1.300E-13|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.744|  8.821E-01| | 8.826E-01  5.960E-04
    |           |     |   |           |   |  |   1|      2.876|  1.173E-01| | 1.174E-01  8.800E-04
 27 |  2.878650 |  2.0|  1|  6.700E-14|  6| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.657|  5.039E-02| | 5.058E-02  3.800E-03
    |           |     |   |           |   |  |   5|      0.686|  8.234E-02| | 8.260E-02  3.150E-03
    |           |     |   |           |   |  |   4|      0.749|  1.419E-01| | 1.423E-01  2.800E-03
    |           |     |   |           |   |  |   3|      0.777|  8.050E-02| | 8.070E-02  2.460E-03
    |           |     |   |           |   |  |   2|      1.747|  6.145E-01| | 6.149E-01  6.170E-04
    |           |     |   |           |   |  |   1|      2.879|  2.888E-02| | 2.891E-02  8.810E-04
 28 |  2.958110 |  4.0|  1|  9.000E-13|  4|  |    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      0.531|  1.267E-01| | 1.276E-01  6.800E-03
    |           |     |   |           |   |  |   7|      0.737|  2.096E-01| | 2.102E-01  3.000E-03
    |           |     |   |           |   |  |   3|      0.857|  1.740E-01| | 1.744E-01  2.030E-03
    |           |     |   |           |   |  |   2|      1.826|  4.875E-01| | 4.878E-01  6.070E-04
 29 |  2.988030 |  3.0| -1|  5.500E-13|  4|  |    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  22|      0.235|  9.067E-02| | 9.558E-02  5.420E-02
    |           |     |   |           |   |  |  16|      0.374|  5.770E-02| | 5.868E-02  1.700E-02
    |           |     |   |           |   |  |  15|      0.385|  2.912E-01| | 2.958E-01  1.577E-02
    |           |     |   |           |   |  |   2|      1.856|  5.495E-01| | 5.499E-01  6.870E-04
 30 |  3.011100 | -1.0|  0|           |  1|  |    |           |  (7,8,9)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  14|      0.433|  1.000E+00| | 1.000E+00  0.000E+00
 31 |  3.109500 | -1.0|  0|           |  1|  |    |           |     1,2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      3.110|  1.000E+00| | 1.000E+00  0.000E+00
 32 |  3.130000 | -1.0|  0|           |  0|  |    |           |  (3-,5-)  |0|                                                                                                                                                                                                                              0.000000       
 33 |  3.143860 |  4.0|  1|  1.100E-13|  2|  |    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      0.718|  4.991E-01| | 5.005E-01  2.810E-03
    |           |     |   |           |   |  |   2|      2.012|  4.991E-01| | 4.995E-01  6.230E-04
 34 |  3.214360 |  2.0|  1|  2.500E-14|  2|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.083|  1.481E-01| | 1.482E-01  6.440E-04
    |           |     |   |           |   |  |   1|      3.214|  8.510E-01| | 8.518E-01  9.970E-04
 35 |  3.227950 | -1.0|  0|  7.000E-14|  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.098|  4.012E-01| | 4.012E-01  0.000E+00
    |           |     |   |           |   |  |   2|      2.096|  5.988E-01| | 5.988E-01  0.000E+00
 36 |  3.240360 | -1.0|  0|           |  1|  |    |           |  (7,8,9)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.915|  1.000E+00| | 1.000E+00  0.000E+00
 37 |  3.264490 |  2.0|  1|  1.900E-13|  1|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      3.264|  9.990E-01| | 1.000E+00  1.010E-03
 38 |  3.267130 | -1.0|  0|  1.400E-13|  1|  |    |           |    1,2,3  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.135|  1.000E+00| | 1.000E+00  0.000E+00
 39 |  3.293420 | -1.0|  0|           |  2|  |    |           |      2,3  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.164|  7.246E-01| | 7.246E-01  0.000E+00
    |           |     |   |           |   |  |   2|      2.162|  2.754E-01| | 2.754E-01  0.000E+00
 40 |  3.312990 | -1.0|  0|           |  1|  |    |           |    2,3,4  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.183|  1.000E+00| | 1.000E+00  0.000E+00
 41 |  3.330410 | -1.0|  0|  7.000E-14|  1|  |    |           |      2,3  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.199|  1.000E+00| | 1.000E+00  0.000E+00
 42 |  3.333540 |  2.0|  1|           |  4|  |    |           |     2(+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  20|      0.630|  4.630E-01| | 4.650E-01  4.200E-03
    |           |     |   |           |   |  |   4|      1.204|  7.381E-02| | 7.388E-02  9.600E-04
    |           |     |   |           |   |  |   2|      2.202|  2.237E-01| | 2.238E-01  6.720E-04
    |           |     |   |           |   |  |   1|      3.333|  2.371E-01| | 2.373E-01  1.038E-03
 43 |  3.346460 | -1.0|  0|           |  2|  |    |           |    (3,4)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.245|  7.752E-01| | 7.752E-01  0.000E+00
    |           |     |   |           |   |  |   2|      2.215|  2.248E-01| | 2.248E-01  0.000E+00
 44 |  3.360000 |  4.0|  1|           |  0|  |    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
 45 |  3.362300 | -1.0|  0|           |  2|  |    |           |  (7,8,9)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  14|      0.784|  4.118E-01| | 4.118E-01  0.000E+00
    |           |     |   |           |   |  |   8|      1.037|  5.882E-01| | 5.882E-01  0.000E+00
 46 |  3.363590 |  3.0|  1|           |  2|  |    |           |     3(+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.261|  2.699E-01| | 2.701E-01  8.700E-04
    |           |     |   |           |   |  |   2|      2.232|  7.294E-01| | 7.299E-01  6.860E-04
 47 |  3.396500 | -1.0|  0|           |  1|  |    |           |     1,2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      3.397|  1.000E+00| | 1.000E+00  0.000E+00
 48 |  3.410140 |  1.0|  0|           |  2|  |    |           |        1  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.280|  3.789E-01| | 3.789E-01  0.000E+00
    |           |     |   |           |   |  |   1|      3.410|  6.211E-01| | 6.211E-01  0.000E+00
 49 |  3.414000 |  4.0|  1|           |  0|  |    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
 50 |  3.490180 |  1.0| -1|  5.100E-15|  1|  |    |           |       1-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      3.490|  9.985E-01| | 1.000E+00  1.520E-03
 51 |  3.498580 | -1.0|  0|           |  2|  |    |           |    1,2,3  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.369|  3.827E-01| | 3.827E-01  0.000E+00
    |           |     |   |           |   |  |   2|      2.367|  6.173E-01| | 6.173E-01  0.000E+00
 52 |  3.509150 |  3.0|  1|           |  2|  |    |           |     3(+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.380|  6.447E-01| | 6.452E-01  7.120E-04
    |           |     |   |           |   |  |   2|      2.377|  3.546E-01| | 3.548E-01  7.170E-04
 53 |  3.524020 | -1.0|  0|           |  2|  |    |           |  (7-,8-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  13|      0.956|  5.848E-01| | 5.848E-01  0.000E+00
    |           |     |   |           |   |  |   8|      1.199|  4.152E-01| | 4.152E-01  0.000E+00
 54 |  3.551530 |  3.0| -1|           |  4|  |    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      1.330|  2.163E-01| | 2.164E-01  4.470E-04
    |           |     |   |           |   |  |   4|      1.422|  1.211E-01| | 1.212E-01  4.730E-04
    |           |     |   |           |   |  |   3|      1.450|  1.860E-01| | 1.861E-01  4.840E-04
    |           |     |   |           |   |  |   2|      2.420|  4.758E-01| | 4.763E-01  1.005E-03
 55 |  3.583660 |  2.0|  1|           |  4|  |    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  35|      0.356|  2.438E-01| | 2.438E-01  0.000E+00
    |           |     |   |           |   |  |   4|      1.454|  3.434E-01| | 3.437E-01  7.000E-04
    |           |     |   |           |   |  |   2|      2.452|  1.751E-01| | 1.753E-01  7.430E-04
    |           |     |   |           |   |  |   1|      3.584|  2.370E-01| | 2.372E-01  1.120E-03
 56 |  3.603860 | -1.0|  0|           |  2|  |    |           |      2,3  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      1.177|  2.126E-01| | 2.126E-01  0.000E+00
    |           |     |   |           |   |  |   2|      2.472|  7.874E-01| | 7.874E-01  0.000E+00
 57 |  3.643400 | -1.0|  0|           |  1|  |    |           |  (7,8,9)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  36|      0.403|  1.000E+00| | 1.000E+00  0.000E+00
 58 |  3.655200 | -1.0|  0|           |  4|  |    |           |      2,3  |0|                                                                                                                                                                                                                              0.000000       
