  1 |  0.000000 |  0.0|  1| -1.000E+00|  0| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
  2 |  0.818497 |  2.0|  1|  1.930E-12|  1| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.819|  9.971E-01| | 1.000E+00  2.860E-03
  3 |  1.550971 |  2.0|  1|  1.010E-12|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.732|  4.779E-01| | 4.801E-01  4.500E-03
    |           |     |   |           |   |  |   1|      1.551|  5.195E-01| | 5.199E-01  8.370E-04
  4 |  1.578990 |  0.0|  1|           |  2| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.760|  9.966E-01| | 1.000E+00  3.390E-03
    |           |     |   |           |   |  |   1|      1.580|  0.000E+00| | 0.000E+00  0.000E+00
  5 |  1.866548 |  4.0|  1|           |  2| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.316|  2.495E-04| | 2.592E-04  3.870E-02
    |           |     |   |           |   |  |   2|      1.048|  9.981E-01| | 9.997E-01  1.650E-03
  6 |  2.030466 |  7.0| -1|  3.084E-01|  1| u|    |           |       7-  |1| =  1.0000E+02 %IT                                                                                                                                                                                                            0.000000       
    |           |     |   |           |   |  |   5|      0.164|  3.125E-01| | 1.000E+00  2.200E+00
  7 |  2.053822 |  4.0|  1|           |  2| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      0.187|  2.046E-02| | 2.435E-02  1.900E-01
    |           |     |   |           |   |  |   2|      1.235|  9.745E-01| | 9.756E-01  1.170E-03
  8 |  2.080026 |  2.0|  1|  6.000E-13|  3| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.529|  6.181E-02| | 6.244E-02  1.010E-02
    |           |     |   |           |   |  |   2|      1.262|  5.831E-01| | 5.839E-01  1.310E-03
    |           |     |   |           |   |  |   1|      2.080|  3.534E-01| | 3.537E-01  7.610E-04
  9 |  2.128830 |  2.0|  1|  5.100E-14|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.310|  6.659E-01| | 6.668E-01  1.380E-03
    |           |     |   |           |   |  |   1|      2.129|  3.329E-01| | 3.332E-01  7.670E-04
 10 |  2.140168 |  5.0| -1|  1.600E-09|  4| u|    |           |       5-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.086|  2.762E-01| | 3.709E-01  3.430E-01
    |           |     |   |           |   |  |   6|      0.110|  1.121E-02| | 2.691E-02  1.400E+00
    |           |     |   |           |   |  |   5|      0.274|  5.901E-01| | 5.995E-01  1.600E-02
    |           |     |   |           |   |  |   2|      1.322|  2.655E-03| | 2.661E-03  2.060E-03
 11 |  2.141340 |  0.0|  1|           |  2| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.323|  9.990E-01| | 1.000E+00  1.020E-03
    |           |     |   |           |   |  |   1|      2.142|  0.000E+00| | 0.000E+00  0.000E+00
 12 |  2.153550 |  1.0| -1|           |  1| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      2.154|  9.991E-01| | 1.000E+00  9.050E-04
 13 |  2.207077 |  6.0|  1|  3.110E-09|  4| u|    |           |       6+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      0.067|  6.841E-02| | 1.159E-01  6.940E-01
    |           |     |   |           |   |  |   7|      0.153|  8.162E-02| | 1.170E-01  4.330E-01
    |           |     |   |           |   |  |   6|      0.177|  1.416E-01| | 1.487E-01  5.000E-02
    |           |     |   |           |   |  |   5|      0.341|  6.001E-01| | 6.184E-01  3.050E-02
 14 |  2.222704 |  2.0|  1|           |  3| u|    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.672|  4.790E-01| | 4.822E-01  6.510E-03
    |           |     |   |           |   |  |   2|      1.404|  4.742E-01| | 4.747E-01  9.600E-04
    |           |     |   |           |   |  |   1|      2.223|  4.311E-02| | 4.315E-02  7.810E-04
 15 |  2.298610 |  6.0| -1|           |  2| u|    |           |     (6-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      0.158|  7.751E-01| | 9.860E-01  2.720E-01
    |           |     |   |           |   |  |   6|      0.268|  1.318E-02| | 1.403E-02  6.490E-02
 16 |  2.315320 |  0.0|  1|           |  1| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.497|  9.991E-01| | 1.000E+00  8.710E-04
 17 |  2.349500 |  2.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 18 |  2.356470 |  4.0|  1|           |  3| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.303|  1.647E-01| | 1.723E-01  4.600E-02
    |           |     |   |           |   |  |   5|      0.490|  3.056E-01| | 3.094E-01  1.220E-02
    |           |     |   |           |   |  |   2|      1.538|  5.180E-01| | 5.183E-01  6.500E-04
 19 |  2.373689 |  5.0|  1|           |  4| u|    |           |     (5)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  13|      0.167|  1.804E-01| | 2.246E-01  2.450E-01
    |           |     |   |           |   |  |  10|      0.234|  3.797E-02| | 3.900E-02  2.700E-02
    |           |     |   |           |   |  |   7|      0.320|  2.468E-01| | 2.564E-01  3.900E-02
    |           |     |   |           |   |  |   5|      0.507|  4.746E-01| | 4.800E-01  1.130E-02
 20 |  2.390790 |  3.0| -1|           |  3| u|    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.337|  1.481E-01| | 1.493E-01  8.500E-03
    |           |     |   |           |   |  |   3|      0.840|  3.661E-02| | 3.665E-02  1.160E-03
    |           |     |   |           |   |  |   2|      1.572|  8.135E-01| | 8.140E-01  6.190E-04
 21 |  2.392100 |  2.0|  1|           |  0| c|    |           |  (1+,2+)  |0|                                                                                                                                                                                                                              0.000000       
