id,mt_strategy,normalizer,max_depth,mss,msl,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,mslmt_strategy
1,one_hot,standard,60,2,1.0,0.027365076026495183,0.01173651197522771,0.9847492228312996,0.0,0.9847492228312996,0.13576694884754942,0.08164522197799565,0.8946723066432686,0.04806144547023949,0.8946722475214739,0.1349344469355062,0.08052471027091226,0.8964702059085478,0.047904627823133206,0.8964698942322562,E:\ML_Models_EXFOR\DT_B0\DT60_MSS2_MSL1_standard_one_hot_B0_v5\DT60_MSS2_MSL1_standard_one_hot_B0_v5.joblib,35.397958278656006,E:\ML_Models_EXFOR\DT_B0\DT60_MSS2_MSL1_standard_one_hot_B0_v5\scaler.pkl,
6,one_hot,standard,60,5,1.0,0.05313923787356252,0.017365600265111834,0.97726834282134,0.014164837573634959,0.97726834282134,0.13124339515612646,0.0761003212590547,0.9009920360313624,0.047045662054914485,0.9009920094700099,0.13028760611970264,0.07445404277009267,0.90346662991589,0.046926273597860835,0.9034664945398214,E:\ML_Models_EXFOR\DT_B0\DT60_MSS5_MSL1_standard_one_hot_B0_v5\DT60_MSS5_MSL1_standard_one_hot_B0_v5.joblib,33.579960584640496,E:\ML_Models_EXFOR\DT_B0\DT60_MSS5_MSL1_standard_one_hot_B0_v5\scaler.pkl,
7,one_hot,standard,60,5,3.0,0.07795521093837658,0.02848175957181783,0.962166718806466,0.02665687511784398,0.962166718806466,0.12354776372672616,0.06354705555069491,0.915871480036116,0.04638261995042986,0.9158710321345882,0.12294680596560315,0.06303382902079854,0.9169228514233484,0.046246135835233015,0.9169226652921892,E:\ML_Models_EXFOR\DT_B0\DT60_MSS5_MSL3_standard_one_hot_B0_v5\DT60_MSS5_MSL3_standard_one_hot_B0_v5.joblib,31.693747997283936,E:\ML_Models_EXFOR\DT_B0\DT60_MSS5_MSL3_standard_one_hot_B0_v5\scaler.pkl,
11,one_hot,standard,60,10,1.0,0.07096999402941448,0.024260299623555248,0.9679539249437684,0.02431524877226021,0.9679539249437684,0.12574474344855216,0.06822099948347195,0.9103456094047486,0.04624617050522184,0.9103455510870876,0.1248642014807348,0.06741393229289971,0.9118288176911108,0.04602907137399537,0.9118284531874136,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL1_standard_one_hot_B0_v5\DT60_MSS10_MSL1_standard_one_hot_B0_v5.joblib,32.38127565383911,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL1_standard_one_hot_B0_v5\scaler.pkl,
12,one_hot,standard,60,10,3.0,0.08266693343527931,0.030703497037448006,0.9590947902357542,0.029595594564173044,0.9590947902357542,0.12238695381965095,0.062084129452832836,0.9176359982183904,0.04635151940240068,0.917635867567387,0.12172008262015885,0.06154554069635576,0.9185509207263736,0.04608840658335656,0.9185508109734144,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL3_standard_one_hot_B0_v5\DT60_MSS10_MSL3_standard_one_hot_B0_v5.joblib,31.453076362609863,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL3_standard_one_hot_B0_v5\scaler.pkl,
13,one_hot,standard,60,10,5.0,0.08849287857793836,0.03429491899924083,0.9540903977284714,0.03260751110341609,0.9540903977284714,0.1199470405336138,0.0591703934944153,0.9211614573427708,0.04634639925470213,0.921161447817054,0.11983319752456795,0.059403464436648436,0.9210569190959088,0.04600106879491067,0.9210568350588132,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL5_standard_one_hot_B0_v5\DT60_MSS10_MSL5_standard_one_hot_B0_v5.joblib,30.7199068069458,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL5_standard_one_hot_B0_v5\scaler.pkl,
14,one_hot,standard,60,10,7.0,0.09448073346504876,0.038070940294604234,0.9487766223249,0.03597217786081264,0.9487766223249,0.11953158904189735,0.058535629063780965,0.9216940531961852,0.04679811697874954,0.9216940049781692,0.11940719227540356,0.05868532435332796,0.9215922235712044,0.04667633362107093,0.9215922171163584,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL7_standard_one_hot_B0_v5\DT60_MSS10_MSL7_standard_one_hot_B0_v5.joblib,30.82226729393005,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL7_standard_one_hot_B0_v5\scaler.pkl,
16,one_hot,standard,60,15,1.0,0.0802773585700809,0.02866375975298318,0.961915754699726,0.02937114684276043,0.961915754699726,0.12323859096560208,0.06428306651090976,0.915036342549674,0.04631971029087079,0.9150360670497282,0.12273373764966433,0.06404963578930452,0.9156046838345252,0.04613178578413507,0.9156045977288142,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL1_standard_one_hot_B0_v5\DT60_MSS15_MSL1_standard_one_hot_B0_v5.joblib,31.29904198646545,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL1_standard_one_hot_B0_v5\scaler.pkl,
17,one_hot,standard,60,15,3.0,0.08823538624326786,0.033480534374618835,0.9552293991286852,0.032916408021714916,0.9552293991286852,0.12132191563862872,0.06036304433768765,0.9196438853682858,0.046608888301032825,0.9196438792097884,0.12090213929584705,0.060186573762367676,0.9200006120913332,0.04644385827938741,0.9200004365620276,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL3_standard_one_hot_B0_v5\DT60_MSS15_MSL3_standard_one_hot_B0_v5.joblib,30.82309579849243,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL3_standard_one_hot_B0_v5\scaler.pkl,
18,one_hot,standard,60,15,5.0,0.09166751111930932,0.035898710719703075,0.951840051838204,0.03459471301694328,0.951840051838204,0.11979889968777105,0.05847934206906018,0.9219513870175878,0.04676110619083845,0.92195136064329,0.11975373648043985,0.05885270004196577,0.9215736259972914,0.04649165161962282,0.9215736215561128,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL5_standard_one_hot_B0_v5\DT60_MSS15_MSL5_standard_one_hot_B0_v5.joblib,30.388187646865845,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL5_standard_one_hot_B0_v5\scaler.pkl,
