id,max_depth,mss,msl,train_mae,train_mse,train_evs,train_mae_m,train_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time
0,20,2,1,0.1258835641000944,0.05551330776377837,0.9236231691392511,0.053874965321713486,0.9236231691392511,0.14340285843360667,0.07316364762540041,0.8985208126586346,0.06370197496000285,0.8985207620835938,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss2_msl1.joblib,34.259997606277466
1,20,5,1,0.12770156882414105,0.05626589512963609,0.9225074992606803,0.055624132032654344,0.9225074992606803,0.14310589455234352,0.07227751332065167,0.8995467517530847,0.06373473057990209,0.8995466886996446,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss5_msl1.joblib,33.042283058166504
2,20,5,3,0.13021306507838262,0.05811495692920781,0.9197565186818155,0.05730463576830008,0.9197565186818155,0.14280712514063204,0.07071892375888836,0.9013348316883368,0.06381950330093267,0.9013347495408192,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss5_msl3.joblib,35.38969540596008
3,20,10,1,0.12961797836011785,0.05741301140183035,0.9208025054274858,0.057233708088402724,0.9208025054274858,0.14290819362162124,0.07165529328011407,0.9002594801329363,0.06388866866853404,0.9002594626520704,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss10_msl1.joblib,34.18198299407959
4,20,10,3,0.13099200189310037,0.05863910661036099,0.9189741467739071,0.05794534132324157,0.9189741467739071,0.14281550014525266,0.07055921888176743,0.9014938899286224,0.0639757942324774,0.9014938576074293,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss10_msl3.joblib,33.93043875694275
5,20,10,5,0.13201211652716077,0.05959343729318594,0.9175467513397543,0.05857343371791396,0.9175467513397543,0.1428410013565787,0.07039349448161807,0.9015996128216874,0.06409388583947861,0.9015995574218987,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss10_msl5.joblib,33.86094403266907
6,20,10,7,0.13340227449144448,0.06074720477626188,0.9158160161737247,0.059467147584519764,0.9158160161737247,0.14309320087646696,0.07037890605309906,0.9014467987103432,0.06449105821468597,0.9014467620422468,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss10_msl7.joblib,34.125473499298096
7,20,15,1,0.13102696912188996,0.058298155801694736,0.9194831956914007,0.058316386191116676,0.9194831956914007,0.14294782834303793,0.07122995180084199,0.9007351169239234,0.06418992493715325,0.9007351000080157,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss15_msl1.joblib,33.18480706214905
8,20,15,3,0.1320603390246402,0.05930391313758625,0.9179801917020798,0.05880670474854158,0.9179801917020798,0.14291425918463654,0.07030193937334742,0.9017679699705475,0.06428341354639655,0.9017679365307664,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss15_msl3.joblib,34.09496760368347
9,20,15,5,0.1327393092099514,0.060037401902577954,0.9168814265725892,0.0591717892465049,0.9168814265725892,0.14293681403685665,0.0702214856099892,0.9017524287541208,0.06439133219478643,0.9017523837264011,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss15_msl5.joblib,32.51519012451172
10,20,15,7,0.1334959711556103,0.060808306059745396,0.9157242054796576,0.05953421728428787,0.9157242054796576,0.1431149365828542,0.07037697714363185,0.9014367459127758,0.06451177649889583,0.9014367107774919,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss15_msl7.joblib,33.16380500793457
11,20,15,10,0.13515579625184015,0.06228220902326759,0.9135047999985937,0.0606033993754202,0.9135047999985937,0.14365858277041033,0.07084933784792209,0.9006077510081194,0.06491262675487686,0.9006077413995613,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\DT\dt_model_md20_mss15_msl10.joblib,32.91526174545288
