epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.14893010139164578,0.24082573,0.14893007,0.18189990177617932,0.2673137,0.1818999
1,0.1275961215506916,0.21962549,0.12759605,0.12369373450357868,0.2160188,0.123693876
2,0.12019863205863747,0.21161363,0.12019842,0.11649254325000717,0.20591281,0.116492614
3,0.11618556173171685,0.2069757,0.116185635,0.11367845106058638,0.2029589,0.1136785
4,0.1139106730612257,0.20442216,0.113910556,0.11296050468078116,0.20396724,0.11296041
5,0.11177376282298479,0.20180833,0.1117737,0.11296334320597733,0.20151548,0.11296341
6,0.11020698987408029,0.20016232,0.110206805,0.11081490687887507,0.20169832,0.11081494
7,0.1090351831581176,0.19882965,0.10903544,0.10889302726970562,0.19811092,0.10889305
8,0.10833887463330281,0.19790761,0.10833881,0.10690930314295721,0.19515318,0.10690937
9,0.10726407417457862,0.19652492,0.10726413,0.10634119058630048,0.19435857,0.10634122
10,0.10642145500699506,0.1954086,0.106421664,0.10632520034493473,0.19376326,0.10632518
11,0.1063453054812775,0.19531721,0.10634531,0.10750594802052557,0.19493379,0.10750591
12,0.1050797775956651,0.19395852,0.105079725,0.10667151746968824,0.19465701,0.10667141
13,0.10481195138063544,0.19336511,0.104812086,0.10496539332347866,0.19318879,0.10496537
14,0.10448277626743545,0.19296548,0.10448279,0.10998556197095588,0.1983741,0.10998561
15,0.10404725431015646,0.1923322,0.1040471,0.10320532875348215,0.19084254,0.10320533
16,0.10343528867723455,0.19169554,0.10343541,0.10435076589783639,0.19187415,0.104350716
17,0.10554471887262569,0.19376875,0.10554464,0.10621408668167028,0.19443867,0.10621401
18,0.10464216419308404,0.1927415,0.10464196,0.10624107647242709,0.19476055,0.10624108
19,0.10428912575682531,0.19220221,0.10428906,0.10290410042845406,0.18963005,0.10290411
20,0.10413072129493392,0.19238017,0.10413056,0.10288385273605477,0.19006978,0.10288385
21,0.10149206970283438,0.18919499,0.101492114,0.10091773259336678,0.1873056,0.10091775
22,0.10189062808130726,0.18961473,0.101890445,0.10193017230409158,0.18800159,0.10193019
23,0.10080030731220936,0.18828237,0.10080023,0.10006370621917496,0.18770531,0.10006369
24,0.10085789389127028,0.18813074,0.10085771,0.10006658520417992,0.1855002,0.10006661
25,0.10206889867773174,0.18923809,0.10206895,0.1051396859181307,0.1910762,0.105139636
26,0.10301140412777615,0.19039114,0.10301139,0.10149023073528476,0.18756485,0.10149026
27,0.1009532793573043,0.18827361,0.10095316,0.10147067676730401,0.18843243,0.10147063
28,0.10220962857125429,0.18961926,0.10220953,0.10469504434884916,0.19288254,0.10469504
29,0.10079730182300654,0.18812677,0.10079741,0.09968014617406631,0.18486808,0.09968006
30,0.10023303804356866,0.18792829,0.10023325,0.10295908849593124,0.19052035,0.10295913
31,0.10041975959511446,0.18824868,0.10041962,0.10102929449561478,0.18848275,0.10102927
32,0.100117679404512,0.18768357,0.100117676,0.10612357802528374,0.19226712,0.10612357
33,0.10020268736937561,0.1879386,0.100202575,0.10311179478566136,0.18856108,0.103111826
34,0.10013284996918012,0.187716,0.10013304,0.10096516792222349,0.1876158,0.10096524
35,0.10018521020933704,0.18769774,0.10018509,0.10089369494593285,0.18765979,0.10089373
36,0.09959442966277489,0.18725273,0.09959433,0.09957271517783202,0.18669073,0.09957274
37,0.09909394642300817,0.18685384,0.09909396,0.09756644726353335,0.1829704,0.097566426
38,0.09963969009073126,0.18717359,0.09963951,0.09920435105058435,0.18546228,0.09920432
39,0.09920286556418856,0.18688796,0.09920285,0.10332783222084527,0.19051391,0.10332782
40,0.09959609870981158,0.18737,0.09959589,0.09908844882344918,0.18639782,0.099088445
41,0.09856349920768036,0.1860417,0.098563574,0.09797792436437396,0.18485402,0.097977936
42,0.09873685707937385,0.18616706,0.09873677,0.09859489377766319,0.18638283,0.09859499
43,0.09881720761276061,0.18677115,0.09881738,0.09818597761725499,0.18469134,0.09818595
44,0.09851969532402569,0.186027,0.0985197,0.10000747998957922,0.18642005,0.1000074
45,0.10139097959477056,0.18870138,0.10139103,0.10249854663311599,0.18791749,0.10249852
46,0.1025954036775078,0.19040518,0.102595545,0.10025573108658438,0.18669656,0.10025571
47,0.10038559418453614,0.1880979,0.100385636,0.10113847876076573,0.18884112,0.101138406
48,0.09971600417444872,0.18697673,0.09971591,0.09972560118872496,0.18660483,0.09972558
49,0.100059287454497,0.18764804,0.1000591,0.10044815388052468,0.18833208,0.10044816
50,0.10069602470353346,0.18837313,0.10069601,0.10063010554649628,0.18689473,0.100630134
51,0.10026992583468314,0.18767676,0.100269884,0.10727774563239967,0.19545558,0.107277706
52,0.10007994913171277,0.18709451,0.10008,0.09890046076269399,0.18517657,0.09890052
53,0.09927613477952786,0.18633327,0.09927625,0.10021233529007377,0.18588486,0.10021237
54,0.09856425589725487,0.1856577,0.09856444,0.0975508068598014,0.1826592,0.097550824
