 60As   60   33    1    0    1    1    0.000000   -3.321000
  1   0.000000   5.0  1             0                       5+#  1 ?  0.0000E+00 %P                                                                                                                                                                                                             0.000000       
 61As   61   33    1    0    1    1   19.957000   -2.734000
  1   0.000000   1.5 -1             0                     3/2-#  1 ?  0.0000E+00 %P                                                                                                                                                                                                             0.000000       
 62As   62   33    1    0    1    1   15.067000   -1.858000
  1   0.000000   1.0  1             0                       1+#  1 =  1.0000E+02 %P                                                                                                                                                                                                             0.000000       
 63As   63   33    1    0    1    1   17.116000   -0.983000
  1   0.000000   1.5 -1  4.300E-08  0                     3/2-#  1 =  1.0000E+02 %P                                                                                                                                                                                                             0.000000       
 64As   64   33    1    0    1    1   14.097000    0.020000
  1   0.000000   0.0  1  4.000E-02  0                       0+#  2 =  1.0000E+02 %EC+%B+ ?  0.0000E+00 %B+P                                                                                                                                                                                     0.000000       
 65As   65   33    2    0    1    1   15.356000   -0.089470
  1   0.000000   1.5 -1  1.700E-01  0                     3/2-#  2 =  1.0000E+02 %EC+%B+ ?  0.0000E+00 %B+P                                                                                                                                                                                     0.000000       
  2   3.420000  -1.0  0             0                            1 =  1.0000E+02 %P                                                                                                                                                                                                             0.000000       
 66As   66   33   14   15    1    1   13.159340    2.835830
  1   0.000000   0.0  1  9.577E-02  0                      (0+)  1 =  1.0000E+02 %EC+%B+                                                                                                                                                                                                        0.000000       
  2   0.837070   1.0  1             1                      (1+)  0                                                                                                                                                                                                                              0.000000       
                                          1      0.837  9.995E-01  1.000E+00  4.990E-04
  3   0.963620   2.0  1             1                      (2+)  0                                                                                                                                                                                                                              0.000000       
                                          1      0.963  9.996E-01  1.000E+00  4.220E-04
  4   1.231240   3.0  1             2                      (3+)  0                                                                                                                                                                                                                              0.000000       
                                          3      0.267  9.033E-02  9.159E-02  1.400E-02
                                          2      0.394  9.033E-01  9.084E-01  5.700E-03
  5   1.356630   5.0  1  1.100E-06  1                      (5+)  0                                                                                                                                                                                                                              0.000000       
                                          4      0.125  7.299E-01  1.000E+00  3.700E-01
  6   1.901600   5.0  1             1                      (5+)  0                                                                                                                                                                                                                              0.000000       
                                          4      0.670  9.989E-01  1.000E+00  1.120E-03
  7   2.908630   7.0  1             2                      (7+)  0                                                                                                                                                                                                                              0.000000       
                                          6      1.007  2.856E-01  2.857E-01  3.920E-04
                                          5      1.552  7.141E-01  7.143E-01  2.580E-04
  8   3.023800   9.0  1  8.200E-06  1                      (9+)  0                                                                                                                                                                                                                              0.000000       
                                          7      0.115  6.623E-01  1.000E+00  5.100E-01
  9   3.863800  11.0  1             1                     (11+)  0                                                                                                                                                                                                                              0.000000       
                                          8      0.840  9.994E-01  1.000E+00  6.130E-04
 10   5.324900  13.0  1             1                     (13+)  0                                                                                                                                                                                                                              0.000000       
                                          9      1.461  9.998E-01  1.000E+00  2.440E-04
 11   5.810900  12.0  0             1                      (12)  0                                                                                                                                                                                                                              0.000000       
