data_columns
Energy
Z
N
A
Atomic_Mass_Micro
Nucleus_Radius
Neutron_Nucleus_Radius_Ratio
Mass_Excess
Binding_Energy
B_Decay_Energy
S(n)
S(p)
S(2n)
S(2p)
N_valence
Z_valence
P_factor
dS(2n)
dS(2p)
Q(a)
dQ(a)
Q(2B-)
dQ(2B-)
Q(ep)
dQ(ep)
Q(B-n)
dQ(B-n)
dS(n)
dS(p)
Q(4B-)
dQ(4B-)
"Q(d,a)"
"dQ(d,a)"
"Q(p,a)"
"dQ(p,a)"
"Q(n,a)"
"dQ(n,a)"
"Q(g,p)"
"Q(g,n)"
"Q(g,pn)"
"Q(g,d)"
"Q(g,t)"
"Q(g,He3)"
"Q(g,2p)"
"Q(g,2n)"
"Q(g,a)"
"Q(p,n)"
"Q(p,2p)"
"Q(p,pn)"
"Q(p,d)"
"Q(p,2n)"
"Q(p,t)"
"Q(p,3He)"
"Q(n,2p)"
"Q(n,np)"
"Q(n,d)"
"Q(n,2n)"
"Q(n,t)"
"Q(n,3He)"
"Q(d,t)"
"Q(d,3He)"
"Q(3He,t)"
"Q(3He,a)"
"Q(t,a)"
MT_1
MT_101
MT_102
MT_103
MT_104
MT_105
MT_106
MT_107
MT_108
MT_111
MT_112
MT_113
MT_155
MT_158
MT_159
MT_16
MT_17
MT_18
MT_2
MT_22
MT_24
MT_28
MT_29
MT_3
MT_32
MT_33
MT_4
MT_41
MT_51
MT_9000
MT_9001
Center_of_Mass_Flag_Center_of_Mass
Center_of_Mass_Flag_Lab
Element_Flag_I
Element_Flag_N
N_tag_even
N_tag_odd
Z_tag_even
Z_tag_odd
NZ_tag_even_even
NZ_tag_even_odd
NZ_tag_odd_even
NZ_tag_odd_odd
