id,max_depth,mss,msl,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path
1,60,2,1,one_hot,standard,0.02747131569546395,0.01177063449441529,0.9847235060996408,0.0,0.9847235060996408,0.13368374924117835,0.07905029804759252,0.8970681935097858,0.04733211571318241,0.8970675378508698,0.1347693901010969,0.07973504780899555,0.895824807269813,0.04792294344847331,0.8958247347639864,E:\ML_Models_EXFOR\DT_B3\DT60_MSS2_MSL1_standard_one_hot_B3_v1\DT60_MSS2_MSL1_standard_one_hot_B3_v1.joblib,78.27697253227235,E:\ML_Models_EXFOR\DT_B3\DT60_MSS2_MSL1_standard_one_hot_B3_v1\scaler.pkl
6,60,5,1,one_hot,standard,0.05314264866445065,0.017292947047734455,0.9773943667160744,0.014207243661747415,0.9773943667160744,0.12898578395858318,0.07313268601816737,0.904051234264586,0.046424611273413185,0.9040508662273841,0.13000586114404825,0.07319861066817286,0.9036548266301416,0.046823702705700576,0.9036547287808248,E:\ML_Models_EXFOR\DT_B3\DT60_MSS5_MSL1_standard_one_hot_B3_v1\DT60_MSS5_MSL1_standard_one_hot_B3_v1.joblib,76.7566978931427,E:\ML_Models_EXFOR\DT_B3\DT60_MSS5_MSL1_standard_one_hot_B3_v1\scaler.pkl
7,60,5,3,one_hot,standard,0.07799583846577499,0.028314949335751037,0.9624451224000398,0.02679282632166624,0.9624451224000398,0.12212864105731536,0.062343285846903476,0.9168671681830416,0.04580209036269883,0.9168671625094176,0.12247375966546332,0.061682779839899435,0.9175364397180228,0.04610429460686753,0.9175359873663861,E:\ML_Models_EXFOR\DT_B3\DT60_MSS5_MSL3_standard_one_hot_B3_v1\DT60_MSS5_MSL3_standard_one_hot_B3_v1.joblib,76.07418251037599,E:\ML_Models_EXFOR\DT_B3\DT60_MSS5_MSL3_standard_one_hot_B3_v1\scaler.pkl
11,60,10,1,one_hot,standard,0.07101187822401048,0.024057006342199733,0.9682717295242056,0.024421151407497232,0.9682717295242056,0.1239174300072482,0.06668833552780665,0.9117517217337496,0.04570939344868196,0.9117504207375814,0.12469792101304812,0.0664377371910979,0.9115513803085544,0.04617794996215302,0.9115513402577644,E:\ML_Models_EXFOR\DT_B3\DT60_MSS10_MSL1_standard_one_hot_B3_v1\DT60_MSS10_MSL1_standard_one_hot_B3_v1.joblib,76.23320841789246,E:\ML_Models_EXFOR\DT_B3\DT60_MSS10_MSL1_standard_one_hot_B3_v1\scaler.pkl
12,60,10,3,one_hot,standard,0.08270984671391758,0.030487139230042305,0.9594472547879528,0.029764597928376213,0.9594472547879528,0.12101548464434245,0.060601804419795215,0.9189543775364518,0.04590332041810763,0.9189541546073,0.12126481353281765,0.05997612888759174,0.9195385143562944,0.04623883635258103,0.9195382368556728,E:\ML_Models_EXFOR\DT_B3\DT60_MSS10_MSL3_standard_one_hot_B3_v1\DT60_MSS10_MSL3_standard_one_hot_B3_v1.joblib,77.53463673591614,E:\ML_Models_EXFOR\DT_B3\DT60_MSS10_MSL3_standard_one_hot_B3_v1\scaler.pkl
13,60,10,5,one_hot,standard,0.08854576220834624,0.03413007693192535,0.9543805103556808,0.032745379256585716,0.9543805103556808,0.11893521874299445,0.05798614017517656,0.9220169366683472,0.0460269338630952,0.9220167850552656,0.11945757171910035,0.057760079746874214,0.922119299736488,0.046399922507289526,0.9221188409244924,E:\ML_Models_EXFOR\DT_B3\DT60_MSS10_MSL5_standard_one_hot_B3_v1\DT60_MSS10_MSL5_standard_one_hot_B3_v1.joblib,76.56529307365417,E:\ML_Models_EXFOR\DT_B3\DT60_MSS10_MSL5_standard_one_hot_B3_v1\scaler.pkl
14,60,10,7,one_hot,standard,0.0945513264793467,0.037879005051072334,0.9491145736110492,0.03611131133386869,0.9491145736110492,0.11841193907285058,0.05693640562801625,0.9230425864238028,0.04658438725798264,0.923042447457312,0.1189674367798587,0.056931045685197086,0.9228914791839616,0.04680242624146674,0.9228912625560762,E:\ML_Models_EXFOR\DT_B3\DT60_MSS10_MSL7_standard_one_hot_B3_v1\DT60_MSS10_MSL7_standard_one_hot_B3_v1.joblib,76.09537482261658,E:\ML_Models_EXFOR\DT_B3\DT60_MSS10_MSL7_standard_one_hot_B3_v1\scaler.pkl
16,60,15,1,one_hot,standard,0.08033431813588837,0.028487045064898943,0.9622082410484694,0.029509508618281968,0.9622082410484694,0.12174875772719986,0.0632426790373319,0.9157990709651612,0.04598781577577521,0.9157976470227459,0.12253232117509058,0.0631874279004138,0.9153103790852416,0.04615840800679905,0.9153103553692477,E:\ML_Models_EXFOR\DT_B3\DT60_MSS15_MSL1_standard_one_hot_B3_v1\DT60_MSS15_MSL1_standard_one_hot_B3_v1.joblib,78.67776226997374,E:\ML_Models_EXFOR\DT_B3\DT60_MSS15_MSL1_standard_one_hot_B3_v1\scaler.pkl
17,60,15,3,one_hot,standard,0.08825283568184486,0.033270848626368615,0.9555800011244104,0.03304011639884685,0.9555800011244104,0.12010968382660835,0.0591556901355839,0.9205749724768376,0.0463222430191052,0.9205745691900828,0.12054314596345213,0.05859323307680176,0.921045553960915,0.04652521107359808,0.9210452576996656,E:\ML_Models_EXFOR\DT_B3\DT60_MSS15_MSL3_standard_one_hot_B3_v1\DT60_MSS15_MSL3_standard_one_hot_B3_v1.joblib,80.03406643867494,E:\ML_Models_EXFOR\DT_B3\DT60_MSS15_MSL3_standard_one_hot_B3_v1\scaler.pkl
1,60,2,1,one_hot,minmax,0.02746345414873724,0.011738834960679321,0.9847563623541542,0.0,0.9847563623541542,0.13480152790580086,0.08022105811547793,0.8963574269424265,0.04772620051060309,0.8963560056397213,0.13419900748035546,0.07862227206705223,0.8978464715591442,0.047684684664737687,0.8978464495273893,E:\ML_Models_EXFOR\DT_B3\DT60_MSS2_MSL1_minmax_one_hot_B3_v1\DT60_MSS2_MSL1_minmax_one_hot_B3_v1.joblib,84.50807714462279,E:\ML_Models_EXFOR\DT_B3\DT60_MSS2_MSL1_minmax_one_hot_B3_v1\scaler.pkl
