id,max_depth,mss,mslmt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,mt_strategy,msl
476,290,15,,maxabs,0.07949652944340617,0.02807069685784893,0.9627646379730652,0.029193212922585362,0.9627646379730652,0.123126458032167,0.06561265708211264,0.9129813990853328,0.04558933520536529,0.9129808758386508,0.1227523325166865,0.06419021746465423,0.9145781449557212,0.04599615716547102,0.9145770751125668,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_maxabs_one_hot_B1_v1\DT290_MSS15_MSL1_maxabs_one_hot_B1_v1.joblib,44.592076063156135,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_maxabs_one_hot_B1_v1\scaler.pkl,one_hot,1.0
476,290,15,,quantilenormal,0.07951162414717255,0.0280744184746373,0.9627798962831688,0.029185430667668318,0.9627798962831688,0.12262909590057867,0.06353453432648866,0.9153965409737542,0.04595380031458507,0.9153957397309744,0.1234916581794139,0.06484127649832787,0.9137275387613611,0.04593463573863052,0.913727538590758,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_quantilenormal_one_hot_B1_v1\DT290_MSS15_MSL1_quantilenormal_one_hot_B1_v1.joblib,45.10317325592041,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_quantilenormal_one_hot_B1_v1\scaler.pkl,one_hot,1.0
476,290,15,,poweryeo,0.07947462426573969,0.028088963247544858,0.9627393060317868,0.029147563341486164,0.9627393060317868,0.12291593267774187,0.0632334773761971,0.9161983942286216,0.0459562981668134,0.9161945857173178,0.12266796211907548,0.06425018375011966,0.9146079575169912,0.04578374206040632,0.9146070190743504,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_poweryeo_one_hot_B1_v1\DT290_MSS15_MSL1_poweryeo_one_hot_B1_v1.joblib,44.702091217041016,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_poweryeo_one_hot_B1_v1\scaler.pkl,one_hot,1.0
476,290,15,,standard,0.07947846980143491,0.02812065709359283,0.9626984317708068,0.029159184517067338,0.9626984317708068,0.12307328520495554,0.06405897983424186,0.9150245222104052,0.04600340221395344,0.9150215388614841,0.1224555447760594,0.0638117337627112,0.9150714295023727,0.04566416135569129,0.9150709991397024,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_standard_one_hot_B1_v1\DT290_MSS15_MSL1_standard_one_hot_B1_v1.joblib,44.63607597351074,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_standard_one_hot_B1_v1\scaler.pkl,one_hot,1.0
476,290,15,,robust,0.07950179055618327,0.02811082028031166,0.9627049385419764,0.029183457469457164,0.9627049385419764,0.1237457138791264,0.06492179846827162,0.9149433804542144,0.045998006010199516,0.9149417014193472,0.12311270262550815,0.06396759283167136,0.9146680408915298,0.0461064112269618,0.9146642618587232,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_robust_one_hot_B1_v1\DT290_MSS15_MSL1_robust_one_hot_B1_v1.joblib,45.06518220901489,E:\ML_Models_EXFOR\DT_B1\DT290_MSS15_MSL1_robust_one_hot_B1_v1\scaler.pkl,one_hot,1.0
356,230,15,,minmax,0.07957461738307786,0.02817709570962245,0.9626141776846022,0.02915632963553705,0.9626141776846022,0.1231087606933674,0.06373858475238997,0.9155092043376094,0.04626338332256391,0.9155075831939116,0.12290797392811585,0.0638579674504494,0.9159749953394124,0.045944586312877685,0.9159736289007588,E:\ML_Models_EXFOR\DT_B1\DT230_MSS15_MSL1_minmax_one_hot_B1_v1\DT230_MSS15_MSL1_minmax_one_hot_B1_v1.joblib,43.97292685508728,E:\ML_Models_EXFOR\DT_B1\DT230_MSS15_MSL1_minmax_one_hot_B1_v1\scaler.pkl,one_hot,1.0
481,300,2,,maxabs,0.02580697860203153,0.010817223296805845,0.9859721619091772,0.0,0.9859721619091772,0.1356277163626586,0.082859095563769,0.8931897967461856,0.047199309494304516,0.8931867601276214,0.13486274351712052,0.080740451154056,0.8951988705792746,0.0473852295838104,0.89519691512199,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_maxabs_one_hot_B1_v1\DT300_MSS2_MSL1_maxabs_one_hot_B1_v1.joblib,47.20366477966309,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_maxabs_one_hot_B1_v1\scaler.pkl,one_hot,1.0
481,300,2,,quantilenormal,0.02575354143080369,0.010791026020815036,0.9860140960474008,0.0,0.9860140960474008,0.13480949013651594,0.08002139163500338,0.8963719006156753,0.047391504297110254,0.8963702956576337,0.1358648060355772,0.0818443106700289,0.8939574701003732,0.04733147288433226,0.8939574620220989,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_quantilenormal_one_hot_B1_v1\DT300_MSS2_MSL1_quantilenormal_one_hot_B1_v1.joblib,47.25166702270508,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_quantilenormal_one_hot_B1_v1\scaler.pkl,one_hot,1.0
481,300,2,,poweryeo,0.025807732395256026,0.0108197435274716,0.985968774535084,0.0,0.985968774535084,0.1353848712358446,0.07958379999003429,0.8972971768769237,0.047675002510310205,0.8972909624519245,0.1345899486260122,0.08159023361300126,0.8941366734600916,0.046893581347793256,0.8941356797621921,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_poweryeo_one_hot_B1_v1\DT300_MSS2_MSL1_poweryeo_one_hot_B1_v1.joblib,47.08362865447998,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_poweryeo_one_hot_B1_v1\scaler.pkl,one_hot,1.0
486,300,5,,maxabs,0.051900797061561366,0.016527964056851918,0.9784065248036712,0.014003883615041346,0.9784065248036712,0.13076561841272386,0.07597216479465009,0.9010065123381652,0.04624417349379062,0.9010052233507112,0.13006846147154774,0.07407360625749054,0.903067667928674,0.04653944794832124,0.9030664888397956,E:\ML_Models_EXFOR\DT_B1\DT300_MSS5_MSL1_maxabs_one_hot_B1_v1\DT300_MSS5_MSL1_maxabs_one_hot_B1_v1.joblib,46.0744104385376,E:\ML_Models_EXFOR\DT_B1\DT300_MSS5_MSL1_maxabs_one_hot_B1_v1\scaler.pkl,one_hot,1.0
481,300,2,,standard,0.025822268789870026,0.010839101218213541,0.9859443264213338,0.0,0.9859443264213338,0.1356251153883457,0.08059426286465847,0.8957095787298647,0.04755942322555454,0.8957058595829352,0.1344444569413167,0.07945817009579792,0.8967399123137691,0.04698461402582167,0.8967392817952068,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_standard_one_hot_B1_v1\DT300_MSS2_MSL1_standard_one_hot_B1_v1.joblib,47.39971041679382,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_standard_one_hot_B1_v1\scaler.pkl,one_hot,1.0
486,300,5,,quantilenormal,0.05192394609594279,0.016585402746577247,0.9783415365215621,0.014009103346967807,0.9783415365215621,0.13044837224819106,0.07439496958888639,0.9027495892023818,0.04636235183813967,0.902748187454012,0.13086005563650546,0.07508367799335355,0.9018290443442452,0.0466370939722075,0.9018289957469636,E:\ML_Models_EXFOR\DT_B1\DT300_MSS5_MSL1_quantilenormal_one_hot_B1_v1\DT300_MSS5_MSL1_quantilenormal_one_hot_B1_v1.joblib,46.51950192451477,E:\ML_Models_EXFOR\DT_B1\DT300_MSS5_MSL1_quantilenormal_one_hot_B1_v1\scaler.pkl,one_hot,1.0
486,299,5,,poweryeo,0.05187839897166595,0.016544465700669725,0.9783843859902132,0.013980421057285808,0.9783843859902132,0.13052255814372898,0.07330148944318159,0.9045422392320518,0.046773291058633176,0.9045377657250614,0.12992173051294734,0.0744414465191842,0.9025488365737824,0.046150761730144985,0.9025483820294138,E:\ML_Models_EXFOR\DT_B1\DT299_MSS5_MSL1_poweryeo_one_hot_B1_v1\DT299_MSS5_MSL1_poweryeo_one_hot_B1_v1.joblib,46.31246209144592,E:\ML_Models_EXFOR\DT_B1\DT299_MSS5_MSL1_poweryeo_one_hot_B1_v1\scaler.pkl,one_hot,1.0
481,300,2,,robust,0.025804743132657317,0.010788112058375172,0.9860087944976084,0.0,0.9860087944976084,0.13612419929460048,0.08250351835224845,0.8947491228669966,0.0472638703333016,0.8947466078955788,0.13526661640673296,0.08055276043055183,0.8954125427407652,0.047543174514025184,0.8954049862290238,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_robust_one_hot_B1_v1\DT300_MSS2_MSL1_robust_one_hot_B1_v1.joblib,47.47171258926392,E:\ML_Models_EXFOR\DT_B1\DT300_MSS2_MSL1_robust_one_hot_B1_v1\scaler.pkl,one_hot,1.0
