id,distance_metric,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,run_name
1,euclidean,one_hot,standard,0.029282350304345943,0.02167499957507395,0.9722638325796318,0.0,0.9722638221315348,0.14141265485619034,0.09149912257184993,0.8826526176107101,0.04787462309603235,0.8826526157961386,0.13962491687013034,0.09024528058446908,0.8856949345467379,0.04738255332223498,0.8856949246889371,E:\ML_Models_EXFOR\KNN_B1\k1_distance_euclidean_standard_one_hot_B1_v1\k1_distance_euclidean_standard_one_hot_B1_v1.joblib,2405.065410375595,E:\ML_Models_EXFOR\KNN_B1\k1_distance_euclidean_standard_one_hot_B1_v1\scaler.pkl,k1_distance_euclidean_standard_one_hot_B1_v1
5,euclidean,one_hot,standard,0.0261233708525826,0.011350956021586495,0.9852869491650252,0.0,0.9852869473262522,0.11797484695562538,0.06320775595533391,0.9159521217012028,0.04058169198900441,0.9159512997957524,0.1183499182605688,0.06236366537501604,0.9176612966787988,0.04125917740634821,0.9176612776009052,E:\ML_Models_EXFOR\KNN_B1\k5_distance_euclidean_standard_one_hot_B1_v1\k5_distance_euclidean_standard_one_hot_B1_v1.joblib,2709.3556072711945,E:\ML_Models_EXFOR\KNN_B1\k5_distance_euclidean_standard_one_hot_B1_v1\scaler.pkl,k5_distance_euclidean_standard_one_hot_B1_v1
9,euclidean,one_hot,standard,0.02590865482757919,0.01101362415779217,0.9857271420341124,0.0,0.985727137482014,0.1177223813143954,0.061609961929705775,0.9179957706146856,0.04168678040565157,0.917995611858142,0.1181698722066942,0.06287953155595914,0.9161312874379842,0.04183616350527977,0.9161302054919072,E:\ML_Models_EXFOR\KNN_B1\k9_distance_euclidean_standard_one_hot_B1_v1\k9_distance_euclidean_standard_one_hot_B1_v1.joblib,2242.782166481018,E:\ML_Models_EXFOR\KNN_B1\k9_distance_euclidean_standard_one_hot_B1_v1\scaler.pkl,k9_distance_euclidean_standard_one_hot_B1_v1
13,euclidean,one_hot,standard,0.02584467487470888,0.010884276964120159,0.9858736117978052,0.0,0.9858736097087392,0.11763171088128288,0.06179885912224236,0.9174780230264998,0.04217103221671864,0.917477820417016,0.11970163549831915,0.06587414454511979,0.9122349952421036,0.04261993439026618,0.9122339503663776,E:\ML_Models_EXFOR\KNN_B1\k13_distance_euclidean_standard_one_hot_B1_v1\k13_distance_euclidean_standard_one_hot_B1_v1.joblib,2907.929329395294,E:\ML_Models_EXFOR\KNN_B1\k13_distance_euclidean_standard_one_hot_B1_v1\scaler.pkl,k13_distance_euclidean_standard_one_hot_B1_v1
17,euclidean,one_hot,standard,0.02584716607552583,0.0108756504381575,0.9858958792857476,0.0,0.9858958788094362,0.11818645412624387,0.06240573780570272,0.9162830487564908,0.04288307867115057,0.9162825847952936,0.11910737170505,0.0623821616406725,0.9165975614112074,0.04309263081382842,0.9165965447199892,E:\ML_Models_EXFOR\KNN_B1\k17_distance_euclidean_standard_one_hot_B1_v1\k17_distance_euclidean_standard_one_hot_B1_v1.joblib,3255.449740409851,E:\ML_Models_EXFOR\KNN_B1\k17_distance_euclidean_standard_one_hot_B1_v1\scaler.pkl,k17_distance_euclidean_standard_one_hot_B1_v1
9,manhattan,one_hot,standard,0.02590865482757919,0.01101362415779217,0.9857271420341124,0.0,0.985727137482014,0.11636596000215745,0.0602361542055471,0.9198967222300828,0.04130206506958034,0.9198967146095324,0.1168347867154775,0.06101831690815704,0.9186659878305836,0.0415233747799601,0.9186654451589286,E:\ML_Models_EXFOR\KNN_B1\k9_distance_manhattan_standard_one_hot_B1_v1\k9_distance_manhattan_standard_one_hot_B1_v1.joblib,2490.663785696029,E:\ML_Models_EXFOR\KNN_B1\k9_distance_manhattan_standard_one_hot_B1_v1\scaler.pkl,k9_distance_manhattan_standard_one_hot_B1_v1
1,manhattan,one_hot,standard,0.029282350304345943,0.02167499957507395,0.9722638325796318,0.0,0.9722638221315348,0.14071790128463607,0.09023167823594792,0.8843020768937024,0.04773786422118565,0.8843020254694518,0.1389891242609864,0.08923546164892918,0.8869067050609897,0.047270338276979317,0.8869066193354331,E:\ML_Models_EXFOR\KNN_B1\k1_distance_manhattan_standard_one_hot_B1_v1\k1_distance_manhattan_standard_one_hot_B1_v1.joblib,3993.1877319812775,E:\ML_Models_EXFOR\KNN_B1\k1_distance_manhattan_standard_one_hot_B1_v1\scaler.pkl,k1_distance_manhattan_standard_one_hot_B1_v1
5,manhattan,one_hot,standard,0.0261233708525826,0.0113509560215865,0.9852869491650252,0.0,0.9852869473262522,0.11708081161428985,0.061999591378162064,0.9175931712487588,0.04038053371682432,0.9175927168111068,0.11736902362110513,0.0611296338912207,0.9193043918141592,0.04102484103333258,0.9193043856851092,E:\ML_Models_EXFOR\KNN_B1\k5_distance_manhattan_standard_one_hot_B1_v1\k5_distance_manhattan_standard_one_hot_B1_v1.joblib,3716.732341766357,E:\ML_Models_EXFOR\KNN_B1\k5_distance_manhattan_standard_one_hot_B1_v1\scaler.pkl,k5_distance_manhattan_standard_one_hot_B1_v1
13,manhattan,one_hot,standard,0.02584467487470888,0.010884276964120157,0.9858736117978052,0.0,0.9858736097087392,0.11611083208039172,0.05995440639614553,0.9200058544945596,0.04171249867135243,0.920005846169184,0.11803241680815905,0.06377511298613638,0.9150814875400394,0.042191524230508766,0.9150808292556598,E:\ML_Models_EXFOR\KNN_B1\k13_distance_manhattan_standard_one_hot_B1_v1\k13_distance_manhattan_standard_one_hot_B1_v1.joblib,3182.13366150856,E:\ML_Models_EXFOR\KNN_B1\k13_distance_manhattan_standard_one_hot_B1_v1\scaler.pkl,k13_distance_manhattan_standard_one_hot_B1_v1
17,manhattan,one_hot,standard,0.02584716607552584,0.0108756504381575,0.9858958792857476,0.0,0.9858958788094362,0.11635358664056762,0.060047909715206724,0.9195612343638648,0.04248670218066264,0.91956061852512,0.11731928744482488,0.06041555159819986,0.9193176366310624,0.04261679716170563,0.9193169733629368,E:\ML_Models_EXFOR\KNN_B1\k17_distance_manhattan_standard_one_hot_B1_v1\k17_distance_manhattan_standard_one_hot_B1_v1.joblib,3341.81724357605,E:\ML_Models_EXFOR\KNN_B1\k17_distance_manhattan_standard_one_hot_B1_v1\scaler.pkl,k17_distance_manhattan_standard_one_hot_B1_v1
10,euclidean,one_hot,standard,0.02589034858258131,0.010984826007525985,0.9857640074153556,0.0,0.9857640027632928,0.11771222506514435,0.06140578771572602,0.9181716187626328,0.041812718489626484,0.9181713614820242,0.1181644900152595,0.06266202734737827,0.9163403641596743,0.04195197470534938,0.9163391027080512,E:\ML_Models_EXFOR\KNN_B1\k10_distance_euclidean_standard_one_hot_B1_v1\k10_distance_euclidean_standard_one_hot_B1_v1.joblib,3359.945922374725,E:\ML_Models_EXFOR\KNN_B1\k10_distance_euclidean_standard_one_hot_B1_v1\scaler.pkl,k10_distance_euclidean_standard_one_hot_B1_v1
