N,Z,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),A,EL,S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)",Neutrons,Mass_Number
3,2,-n,11231.233,20.0,5512.132,4.0,-447.654,53.852,5012057.223999999,21.47,19842.62,20.0,7718.04,0.0,735.0,20.0,-25907.0,2003.0,0.0,0.0,-22163.27,213.07,5,He,-735.0,20.0,20678.86,101.98,14022.909999999998,52.653333333333336,6992.23,20.0,2959.57,20.0,10288.81,0.0,-20678.86,735.0,-19078.8639,-16854.2979,-16854.2949,-10288.8094,-7718.04,-19842.62,735.0,-1230.0005,-20678.86,735.0,2959.566,-22945.6165,-11360.825099999998,-11360.823500000002,0.0,-20678.86,-18454.293999999998,735.0,-10597.068900000002,0.0003999999998995918,6992.229,-15185.3856,-466.246,21312.6194,-864.9951000000002,3,5
2,3,-p,11678.886,50.0,5266.132,10.0,-25460.0,2003.0,5012537.8,53.677,33131.0,2001.0,17848.86,50.0,1965.0,50.0,11710.235,267.93125000000003,-20231.21,111.8,5582.545,265.26375,5,Li,21715.62,217.94,-1965.0,50.0,23496.050000000003,136.595,7458.47,50.0,12447.903750000001,25.9375,4189.57,50.0,1965.0,-21715.62,-18612.6239,-16388.0579,-7365.961150000001,-16388.0494,-17848.86,-33131.0,1965.0,-26242.3465,1965.0,-21715.62,-19491.054,4800.1985,-24649.2051,-10894.5835,-19448.8635,1965.0,4189.566,-21715.62,-10130.8289,-10130.8196,-15458.391000000001,7458.4744,-25478.592,-1138.0005999999996,21778.8649,2,5
1,4,x,37139.0,2003.0,18.0,401.0,3496.759818181818,228.32636363636365,5039870.0,2150.0,10966.679999999998,241.935,-7630.0,2003.0,-6232.43,29.896250000000002,15000.39777777778,55.19111111111111,27425.0,2003.0,-2351.100000000001,250.90000000000003,5,Be,6225.097272727272,217.71727272727273,-4527.0,2014.0,28961.57,100.374,19183.0,2830.0,2032.0472727272725,251.0409090909091,-858.5474999999999,21.71,4527.0,-6225.097272727272,-6888.0939,-4663.527900000001,-17781.81762727273,-21436.1669,7630.0,-10966.679999999998,-6232.43,2714.413318181818,4527.0,-6225.097272727272,-4000.531272727273,-3133.4465000000005,-2484.8850999999995,829.9464999999983,28207.3465,4527.0,6751.566,-6225.097272727272,1593.7010999999984,15348.0404,32.13172727272749,10020.4744,3478.167818181819,14352.522127272725,24340.8649,1,5
5,1,-3n,41875.721,254.127,961.639,42.354,24283.626,254.127,6044955.437000001,272.816,-1111.96,273.09,0.0,0.0,0.0,0.0,27788.84,254.13,0.0,0.0,22573.17,254.91,6,H,-911.96,269.41,1112.285,0.0,-5444.0,2019.0,20717.915,0.0,20613.86,50.0,0.0,0.0,-1112.285,911.96,-5353.178900000001,-3128.6129000000024,799.9951000000001,0.0,0.0,1111.96,0.0,23501.2795,-1112.285,911.96,3136.526,21790.8235,9593.7549,2364.8614999999972,0.0,-1112.285,1112.281,911.96,3128.6160999999975,0.0,7169.189,4381.1894,24265.034,21489.5794,18701.5799,5,6
4,2,Other,17592.095,0.053,4878.519,0.009000000000000001,3505.216,0.053,6018885.891,0.057,975.45,0.05,7718.04,0.0,367.5,10.0,-782.94,5.45,0.0,0.0,-2158.11,50.0,6,He,1710.45,20.0,22589.32,89.44,14022.909999999998,52.653333333333336,3681.77,100.0,7506.34,0.05,10288.81,0.0,-22589.32,-1710.45,-22389.3239,-20164.7579,-12307.5249,-10288.8094,-7718.04,-975.45,367.5,2722.8695,-22589.32,-1710.45,514.1159999999999,-2940.4565,7506.344900000001,-14671.2835,0.0,-22589.32,-20364.754,-1710.45,-13907.5289,0.0003999999998995918,4546.779,-17095.8456,3486.6240000000003,18867.1694,-2775.4550999999988,4,6
3,3,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.4479999999999995,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,6,Li,5663.32,50.0,4433.32,20.0,23496.050000000003,136.595,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000005,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.7164999999986,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449,3,6
2,4,-,18375.033,5.448,4487.247,0.908,-28945.0,2003.0,6019726.409,5.848,10966.679999999998,241.935,-1372.18,5.45,-6232.43,29.896250000000002,15000.39777777778,55.19111111111111,-145.17,20.73,-2351.100000000001,250.90000000000003,6,Be,26835.0,2003.0,592.82,50.3,28961.57,100.374,3762.65,212.2,-5428.0,2000.0,9090.22,5.45,-592.82,-26835.0,-22308.4439,-20083.8779,-25241.8649,-11487.3994,1372.18,-10966.679999999998,-6232.43,-29727.3465,-592.82,-26835.0,-24610.433999999997,-3133.4465000000005,-2484.8850999999995,-14590.403500000002,637.1765,-592.82,1631.7459999999994,-26835.0,-13826.648900000002,9090.2204,-20577.771,4900.6544,-28963.592,-6257.3806,19221.0449,2,6
1,5,x,47320.0,2003.0,-467.0,334.0,13945.281999999997,210.5587142857143,6050800.0,2150.0,11086.659285714286,353.54285714285714,-7419.0,2014.0,-9081.253636363637,233.16636363636368,21930.739166666666,263.75416666666666,28352.0,2003.0,8694.510769230768,212.2976923076923,6,B,6070.675333333334,335.6233333333333,-2892.0,2832.0,41288.6075,341.38874999999996,8426.323333333334,226.42249999999999,5254.024166666667,261.415,24299.0,2830.0,2892.0,-6070.675333333334,-17644.770566666662,-15420.204566666667,-14559.840733333336,3721.3806,7419.0,-11086.659285714286,-9081.253636363637,13162.935500000001,2892.0,-6070.675333333334,-3846.1093333333333,7912.16426923077,-2604.8643857142847,-9926.730166666668,29134.3465,2892.0,5116.566,-6070.675333333334,-9162.975566666666,15137.0404,186.55366666666694,8385.4744,13926.690000000002,14506.944066666669,22705.8649,1,6
6,1,-nn,49135.0,1004.0,940.0,143.0,23062.0,1004.0,7052749.0,1078.0,-100.0,1000.0,0.0,0.0,0.0,0.0,34228.0,1004.0,0.0,0.0,23472.0,1004.0,7,H,812.0,1036.0,1112.285,0.0,21459.0,1004.0,20717.915,0.0,20613.86,50.0,0.0,0.0,-1112.285,-812.0,-5353.178900000001,-3128.6129000000024,799.9951000000001,0.0,0.0,100.0,0.0,22279.6535,-1112.285,-812.0,1412.5659999999998,22689.6535,8581.7949,2364.8614999999972,0.0,-1112.285,1112.281,-812.0,3128.6160999999975,0.0,5445.229,4381.1894,23043.408,19765.6194,18701.5799,6,7
5,2,-n,26073.126,7.559,4123.057,1.08,11166.021,7.559,7027990.654,8.115,1300.74,21.38,7718.04,0.0,367.5,10.0,10304.13,7.56,0.0,0.0,3914.93,7.56,7,He,-409.71,7.56,23091.56,254.24,14022.909999999998,52.653333333333336,3891.49,89.76,6316.05,100.29,10288.81,0.0,-23091.56,409.71,-22179.6039,-19955.037900000007,-13497.8149,-10288.8094,-7718.04,-1300.74,367.5,10383.6745,-23091.56,409.71,2634.276,3132.5835,7181.054900000001,-14461.563500000002,0.0,-23091.56,-20866.994,409.71,-13697.808900000002,0.0003999999998995918,6666.939,-17598.085600000002,11147.428999999998,20987.3294,-3277.6951000000013,5,7
